	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CXADR	0	0.545133448717497	0.488	0.061	0	Keratinocytes	CXADR
EMP2	0	0.543701258679899	0.865	0.402	0	Keratinocytes	EMP2
ID1	0	0.539858590053843	0.76	0.373	0	Keratinocytes	ID1
SERPINB5	0	0.539347037838257	0.475	0.06	0	Keratinocytes	SERPINB5
ENO1	0	0.525813176328897	0.947	0.648	0	Keratinocytes	ENO1
VAMP8	0	0.524314648461691	0.805	0.243	0	Keratinocytes	VAMP8
DSC2	0	0.52373126597831	0.422	0.079	0	Keratinocytes	DSC2
PKP3	0	0.520655025898537	0.494	0.062	0	Keratinocytes	PKP3
PPIA	0	0.517173839913181	0.999	0.96	0	Keratinocytes	PPIA
KLK8	0	0.515789258956509	0.431	0.046	0	Keratinocytes	KLK8
PHGDH	0	0.515694748168227	0.499	0.081	0	Keratinocytes	PHGDH
TUBA4A	0	0.514796032078575	0.5	0.14	0	Keratinocytes	TUBA4A
HEBP2	0	0.513346124748695	0.718	0.228	0	Keratinocytes	HEBP2
TIMM13	0	0.512815448199199	0.772	0.276	0	Keratinocytes	TIMM13
IER2	0	0.507389679074732	0.947	0.674	0	Keratinocytes	IER2
RPLP0	0	0.497825185542505	1	0.996	0	Keratinocytes	RPLP0
TP63	0	0.488791927041415	0.437	0.065	0	Keratinocytes	TP63
EIF5A	0	0.486991434598046	0.898	0.518	0	Keratinocytes	EIF5A
COX5B	0	0.486766625612355	0.971	0.655	0	Keratinocytes	COX5B
SLC25A5	0	0.4852404688451	0.94	0.71	0	Keratinocytes	SLC25A5
ATP5MF	0	0.485223243558998	0.877	0.414	0	Keratinocytes	ATP5MF
IFI6	0	0.485015006512223	0.659	0.296	0	Keratinocytes	IFI6
UQCRQ	0	0.483624040938765	0.881	0.46	0	Keratinocytes	UQCRQ
PRDX2	0	0.481992116217657	0.876	0.404	0	Keratinocytes	PRDX2
HINT1	0	0.478822432979249	0.991	0.808	0	Keratinocytes	HINT1
WNT4	0	0.47798587960268	0.31	0.049	0	Keratinocytes	WNT4
C1QBP	0	0.475449607547354	0.77	0.297	0	Keratinocytes	C1QBP
CAPNS2	0	0.475432290493164	0.443	0.048	0	Keratinocytes	CAPNS2
MT-CO2	0	0.474322072289719	0.998	0.997	0	Keratinocytes	MT-CO2
IL18	0	0.472828459074821	0.453	0.099	0	Keratinocytes	IL18
EHF	0	0.471256109955974	0.456	0.06	0	Keratinocytes	EHF
MDH2	0	0.470804375910528	0.721	0.252	0	Keratinocytes	MDH2
UQCR10	0	0.469536802878251	0.862	0.403	0	Keratinocytes	UQCR10
DSG3	0	0.467907550450003	0.445	0.058	0	Keratinocytes	DSG3
RPL36	0	0.467814679689043	1	0.998	0	Keratinocytes	RPL36
MIF	0	0.467639074920726	0.989	0.868	0	Keratinocytes	MIF
SDC1	0	0.465774685776095	0.451	0.071	0	Keratinocytes	SDC1
GJB6	0	0.449944681744456	0.348	0.04	0	Keratinocytes	GJB6
MT-CO3	0	0.448695325971854	0.998	0.995	0	Keratinocytes	MT-CO3
ATP5F1D	0	0.447514688843332	0.948	0.595	0	Keratinocytes	ATP5F1D
COX7B	0	0.447326526982794	0.917	0.579	0	Keratinocytes	COX7B
TINCR	0	0.446309278159547	0.434	0.057	0	Keratinocytes	TINCR
PA2G4	0	0.445820391053751	0.841	0.405	0	Keratinocytes	PA2G4
NDUFC1	0	0.444398459048781	0.752	0.284	0	Keratinocytes	NDUFC1
TSTA3	0	0.442481032519276	0.485	0.117	0	Keratinocytes	TSTA3
POU3F1	0	0.441247683623414	0.426	0.066	0	Keratinocytes	POU3F1
ATP5MC1	0	0.440083756452353	0.711	0.271	0	Keratinocytes	ATP5MC1
PRDX5	0	0.439080636234487	0.85	0.422	0	Keratinocytes	PRDX5
COX8A	0	0.439011768928488	0.93	0.551	0	Keratinocytes	COX8A
ZNF706	0	0.438884968065174	0.843	0.401	0	Keratinocytes	ZNF706
RALBP1	0	0.429206389699104	0.741	0.291	0	Keratinocytes	RALBP1
BTF3	0	0.428714172481457	0.999	0.96	0	Keratinocytes	BTF3
TYMP	0	0.428513945124621	0.864	0.545	0	Keratinocytes	TYMP
ATP5F1A	0	0.427648856232858	0.833	0.393	0	Keratinocytes	ATP5F1A
PKM	0	0.423944973673276	0.929	0.598	0	Keratinocytes	PKM
ATP5ME	0	0.422980626156397	0.873	0.519	0	Keratinocytes	ATP5ME
H1FX	0	0.422403692021168	0.709	0.368	0	Keratinocytes	H1FX
KLK11	0	0.417311740707079	0.367	0.043	0	Keratinocytes	KLK11
RPS17	0	0.415896660336703	0.995	0.954	0	Keratinocytes	RPS17
ATP5MPL	0	0.415076595612562	0.873	0.478	0	Keratinocytes	ATP5MPL
ATP5F1C	0	0.414649378022094	0.831	0.389	0	Keratinocytes	ATP5F1C
RPLP1	0	0.41428489625158	1	1	0	Keratinocytes	RPLP1
FERMT1	0	0.4142139283244	0.39	0.047	0	Keratinocytes	FERMT1
DEFB1	0	0.413022554261776	0.293	0.033	0	Keratinocytes	DEFB1
NSG1	0	0.412861141688427	0.442	0.07	0	Keratinocytes	NSG1
C12orf75	0	0.411545867147822	0.382	0.173	0	Keratinocytes	C12orf75
COX6A1	0	0.409780821304347	0.949	0.638	0	Keratinocytes	COX6A1
CD24	0	0.407905704902416	0.254	0.052	0	Keratinocytes	CD24
TIMM8B	0	0.407025972131361	0.513	0.186	0	Keratinocytes	TIMM8B
NDUFS5	0	0.406357388682956	0.933	0.603	0	Keratinocytes	NDUFS5
NDUFB7	0	0.404656341497086	0.782	0.33	0	Keratinocytes	NDUFB7
EEF1B2	0	0.401488759362027	0.999	0.962	0	Keratinocytes	EEF1B2
ATP5IF1	0	0.400673564776004	0.851	0.436	0	Keratinocytes	ATP5IF1
FAM162A	0	0.399796675675467	0.516	0.2	0	Keratinocytes	FAM162A
ARPC2	0	0.397998053524408	0.983	0.781	0	Keratinocytes	ARPC2
TMEM154	0	0.394809251998024	0.367	0.048	0	Keratinocytes	TMEM154
TRAPPC5	0	0.393783549774958	0.715	0.298	0	Keratinocytes	TRAPPC5
TMEM134	0	0.391727862785177	0.462	0.112	0	Keratinocytes	TMEM134
NDUFS6	0	0.390925683190927	0.765	0.342	0	Keratinocytes	NDUFS6
TMEM54	0	0.390887884812647	0.403	0.07	0	Keratinocytes	TMEM54
EIF6	0	0.390597915042222	0.564	0.233	0	Keratinocytes	EIF6
UQCR11	0	0.389002199371838	0.891	0.486	0	Keratinocytes	UQCR11
ATP5F1B	0	0.387038139362072	0.895	0.559	0	Keratinocytes	ATP5F1B
PSMB6	0	0.386206301367911	0.758	0.342	0	Keratinocytes	PSMB6
ATP5PB	0	0.38611462760569	0.671	0.271	0	Keratinocytes	ATP5PB
GSTM3	0	0.383994811396667	0.4	0.201	0	Keratinocytes	GSTM3
ATP5PD	0	0.38363979700772	0.844	0.43	0	Keratinocytes	ATP5PD
GSTA4	0	0.382991789353546	0.413	0.083	0	Keratinocytes	GSTA4
SSBP1	0	0.382542645164745	0.721	0.301	0	Keratinocytes	SSBP1
AHNAK2	0	0.380853399703767	0.385	0.081	0	Keratinocytes	AHNAK2
RPS19	0	0.375402574223138	1	1	0	Keratinocytes	RPS19
COX5A	0	0.374816163324207	0.775	0.36	0	Keratinocytes	COX5A
RPL10A	0	0.374371836784494	1	0.995	0	Keratinocytes	RPL10A
P4HB	0	0.373771534631699	0.813	0.425	0	Keratinocytes	P4HB
SPTSSA	0	0.372566372035735	0.552	0.24	0	Keratinocytes	SPTSSA
TNFSF10	0	0.371706215234217	0.68	0.271	0	Keratinocytes	TNFSF10
MT-ND5	0	0.370789925324637	0.991	0.943	0	Keratinocytes	MT-ND5
GJA1	0	0.370074250541824	0.715	0.3	0	Keratinocytes	GJA1
CTNNBIP1	0	0.369569376567838	0.409	0.104	0	Keratinocytes	CTNNBIP1
PSMD8	0	0.368970733421452	0.793	0.37	0	Keratinocytes	PSMD8
CYB5R1	0	0.365818210329638	0.409	0.099	0	Keratinocytes	CYB5R1
RPL22L1	0	0.361455695635046	0.82	0.461	0	Keratinocytes	RPL22L1
ATP5MD	0	0.360152805751226	0.876	0.541	0	Keratinocytes	ATP5MD
MRPL51	0	0.359600046042913	0.761	0.361	0	Keratinocytes	MRPL51
CYC1	0	0.359203435118736	0.503	0.205	0	Keratinocytes	CYC1
ATP5PO	0	0.358045450569014	0.862	0.476	0	Keratinocytes	ATP5PO
SEM1	0	0.357390524940859	0.883	0.497	0	Keratinocytes	SEM1
COX7A2	0	0.357109219963146	0.939	0.642	0	Keratinocytes	COX7A2
MYL12B	0	0.356937315159678	0.985	0.813	0	Keratinocytes	MYL12B
NDUFB10	0	0.35572047467942	0.857	0.464	0	Keratinocytes	NDUFB10
COX4I1	0	0.352106755112234	0.996	0.928	0	Keratinocytes	COX4I1
NHP2	0	0.35155396654662	0.495	0.197	0	Keratinocytes	NHP2
RHOV	0	0.351244582862709	0.299	0.04	0	Keratinocytes	RHOV
SNRPF	0	0.350688960249138	0.775	0.4	0	Keratinocytes	SNRPF
TOMM6	0	0.348970739698502	0.739	0.345	0	Keratinocytes	TOMM6
HMGN1	0	0.347569866327369	0.834	0.44	0	Keratinocytes	HMGN1
RPS18	0	0.347257870999635	1	0.999	0	Keratinocytes	RPS18
AP2S1	0	0.347204062497658	0.795	0.402	0	Keratinocytes	AP2S1
COX6B1	0	0.346706525040528	0.936	0.65	0	Keratinocytes	COX6B1
SLIRP	0	0.346384849640155	0.537	0.246	0	Keratinocytes	SLIRP
HRAS	0	0.345248374956572	0.433	0.126	0	Keratinocytes	HRAS
NDUFA13	0	0.34340906230611	0.934	0.613	0	Keratinocytes	NDUFA13
MRPS34	0	0.342035976119358	0.482	0.175	0	Keratinocytes	MRPS34
RPL7	0	0.341893877744171	0.999	0.988	0	Keratinocytes	RPL7
SNHG29	0	0.341790506586389	0.995	0.922	0	Keratinocytes	SNHG29
CA12	0	0.341745427500833	0.378	0.077	0	Keratinocytes	CA12
ALDH3A1	0	0.338368771844769	0.264	0.035	0	Keratinocytes	ALDH3A1
TSTD1	0	0.337983590144106	0.402	0.092	0	Keratinocytes	TSTD1
VDAC1	0	0.337912751109807	0.765	0.387	0	Keratinocytes	VDAC1
DYNLL1	0	0.337819825773715	0.974	0.869	0	Keratinocytes	DYNLL1
RPS6	0	0.335859133193044	1	0.999	0	Keratinocytes	RPS6
TPI1	0	0.335839652015503	0.927	0.664	0	Keratinocytes	TPI1
NDUFB4	0	0.335819040231337	0.866	0.495	0	Keratinocytes	NDUFB4
ELOB	0	0.335714920308707	0.949	0.674	0	Keratinocytes	ELOB
NME1	0	0.335259143736791	0.464	0.184	0	Keratinocytes	NME1
RPL35	0	0.335249719961598	1	0.998	0	Keratinocytes	RPL35
RPSA	0	0.335115681854429	0.999	0.978	0	Keratinocytes	RPSA
ATP5PF	0	0.334165718047682	0.905	0.576	0	Keratinocytes	ATP5PF
MICOS10	0	0.331991756723839	0.811	0.425	0	Keratinocytes	MICOS10
RAN	0	0.331746080616374	0.922	0.662	0	Keratinocytes	RAN
UQCRC1	0	0.33090609837023	0.443	0.16	0	Keratinocytes	UQCRC1
SERBP1	0	0.327519344985316	0.958	0.736	0	Keratinocytes	SERBP1
RPS7	0	0.327284963560567	1	0.997	0	Keratinocytes	RPS7
KLK10	0	0.323980820566907	0.26	0.039	0	Keratinocytes	KLK10
CHMP2A	0	0.322591971255935	0.664	0.298	0	Keratinocytes	CHMP2A
PRRG4	0	0.321096268327072	0.379	0.085	0	Keratinocytes	PRRG4
PSMB1	0	0.319134350350228	0.869	0.501	0	Keratinocytes	PSMB1
RNF7	0	0.319053626961466	0.704	0.342	0	Keratinocytes	RNF7
TKT	0	0.318758798768534	0.562	0.284	0	Keratinocytes	TKT
VDAC2	0	0.318053894391374	0.806	0.433	0	Keratinocytes	VDAC2
COMTD1	0	0.317883693559002	0.38	0.084	0	Keratinocytes	COMTD1
UQCRH	0	0.317789228905355	0.965	0.75	0	Keratinocytes	UQCRH
SOX15	0	0.317645732859607	0.324	0.044	0	Keratinocytes	SOX15
BCAP31	0	0.317492105005412	0.515	0.241	0	Keratinocytes	BCAP31
MT1E	0	0.317481636153554	0.677	0.355	0	Keratinocytes	MT1E
ITM2B	0	0.316875288006671	0.997	0.932	0	Keratinocytes	ITM2B
TFAP2A	0	0.315809459337035	0.371	0.072	0	Keratinocytes	TFAP2A
AURKAIP1	0	0.315756992090729	0.641	0.296	0	Keratinocytes	AURKAIP1
RPS3	0	0.314513793094687	1	0.998	0	Keratinocytes	RPS3
VSNL1	0	0.312622057202251	0.326	0.042	0	Keratinocytes	VSNL1
NDUFB9	0	0.310336875811392	0.578	0.273	0	Keratinocytes	NDUFB9
PSMA7	0	0.310238609766422	0.949	0.718	0	Keratinocytes	PSMA7
NUPR1	0	0.309200143371402	0.718	0.351	0	Keratinocytes	NUPR1
NDUFB8	0	0.308621378273303	0.78	0.41	0	Keratinocytes	NDUFB8
ALDH3A2	0	0.307539751649896	0.369	0.105	0	Keratinocytes	ALDH3A2
TAX1BP3	0	0.306562444923342	0.424	0.186	0	Keratinocytes	TAX1BP3
NDUFC2	0	0.304832912978004	0.759	0.377	0	Keratinocytes	NDUFC2
NDUFA11	0	0.304702622373889	0.822	0.442	0	Keratinocytes	NDUFA11
RPL7A	0	0.303990562374554	1	0.999	0	Keratinocytes	RPL7A
PPDPF	0	0.302666393939698	0.886	0.579	0	Keratinocytes	PPDPF
MAPK13	0	0.30238546110703	0.353	0.068	0	Keratinocytes	MAPK13
RPL18A	0	0.302319679163458	1	0.999	0	Keratinocytes	RPL18A
RPS12	0	0.301693842574901	1	1	0	Keratinocytes	RPS12
TECR	0	0.301151974598338	0.467	0.201	0	Keratinocytes	TECR
MRPL27	0	0.30073512805554	0.406	0.12	0	Keratinocytes	MRPL27
COPS9	0	0.300498721148086	0.728	0.376	0	Keratinocytes	COPS9
RPL3	0	0.299946833438972	1	0.999	0	Keratinocytes	RPL3
POLR1D	0	0.299753661010436	0.771	0.425	0	Keratinocytes	POLR1D
SYTL1	0	0.299527831350041	0.317	0.039	0	Keratinocytes	SYTL1
DAAM1	0	0.299067092251334	0.447	0.191	0	Keratinocytes	DAAM1
ALDH7A1	0	0.298311168267943	0.371	0.111	0	Keratinocytes	ALDH7A1
GADD45GIP1	0	0.298053827262148	0.604	0.289	0	Keratinocytes	GADD45GIP1
TMEM238	0	0.29753073888735	0.353	0.071	0	Keratinocytes	TMEM238
PEBP1	0	0.295882050735603	0.904	0.545	0	Keratinocytes	PEBP1
MIB2	0	0.295526023098325	0.35	0.075	0	Keratinocytes	MIB2
GAPDH	0	0.294958802734026	0.997	0.99	0	Keratinocytes	GAPDH
NME2	0	0.294587805008755	0.994	0.95	0	Keratinocytes	NME2
CEBPA	0	0.293390392153909	0.321	0.083	0	Keratinocytes	CEBPA
RPS2	0	0.293235427019631	1	1	0	Keratinocytes	RPS2
MX1	0	0.291486549397257	0.339	0.154	0	Keratinocytes	MX1
RPL13A	0	0.290493108122861	1	0.999	0	Keratinocytes	RPL13A
RAB38	0	0.28979256586241	0.359	0.079	0	Keratinocytes	RAB38
SNRPG	0	0.289755964324038	0.68	0.354	0	Keratinocytes	SNRPG
MAL2	0	0.289423178167595	0.262	0.03	0	Keratinocytes	MAL2
HNRNPAB	0	0.289183962065103	0.797	0.459	0	Keratinocytes	HNRNPAB
HIST1H4C	0	0.28877338667445	0.386	0.25	0	Keratinocytes	HIST1H4C
PSMB3	0	0.288642879379718	0.732	0.384	0	Keratinocytes	PSMB3
HMGB1	0	0.288239170224605	0.977	0.928	0	Keratinocytes	HMGB1
CSTB	0	0.288022347985	0.901	0.676	0	Keratinocytes	CSTB
TP53AIP1	0	0.287748334518883	0.285	0.034	0	Keratinocytes	TP53AIP1
MPZL2	0	0.287576716933854	0.31	0.052	0	Keratinocytes	MPZL2
SRSF5	0	0.287286301627869	0.784	0.431	0	Keratinocytes	SRSF5
PHB2	0	0.286312682369165	0.664	0.336	0	Keratinocytes	PHB2
FGFR3	0	0.286292452162232	0.298	0.044	0	Keratinocytes	FGFR3
NDUFAB1	0	0.286124883205728	0.496	0.242	0	Keratinocytes	NDUFAB1
RBP1	0	0.285852573688893	0.285	0.052	0	Keratinocytes	RBP1
PRELID1	0	0.284360710448862	0.776	0.434	0	Keratinocytes	PRELID1
CTSD	0	0.282920680534816	0.779	0.395	0	Keratinocytes	CTSD
GATA3	0	0.281605975044821	0.283	0.045	0	Keratinocytes	GATA3
RPL29	0	0.281001818958651	1	0.998	0	Keratinocytes	RPL29
RPS21	0	0.280918236527678	1	0.995	0	Keratinocytes	RPS21
CAPG	0	0.280869101826525	0.506	0.213	0	Keratinocytes	CAPG
LSM7	0	0.280787589864428	0.641	0.329	0	Keratinocytes	LSM7
PSMA4	0	0.279361814795795	0.529	0.274	0	Keratinocytes	PSMA4
UQCRFS1	0	0.278331187563852	0.471	0.217	0	Keratinocytes	UQCRFS1
PDLIM1	0	0.278203039223277	0.7	0.355	0	Keratinocytes	PDLIM1
MRPL20	0	0.277783172871935	0.488	0.248	0	Keratinocytes	MRPL20
RPS5	0	0.277761102953135	1	0.994	0	Keratinocytes	RPS5
NACA	0	0.277622504806916	1	0.997	0	Keratinocytes	NACA
PPP1CA	0	0.277190372260225	0.455	0.197	0	Keratinocytes	PPP1CA
GUK1	0	0.277058283219496	0.93	0.659	0	Keratinocytes	GUK1
RPL37A	0	0.276822966413451	1	0.999	0	Keratinocytes	RPL37A
RPS28	0	0.276689251929258	1	1	0	Keratinocytes	RPS28
NDUFA4	0	0.276674383560731	0.951	0.738	0	Keratinocytes	NDUFA4
XRCC5	0	0.27655512307224	0.7	0.355	0	Keratinocytes	XRCC5
MRPL57	0	0.276351817306243	0.445	0.183	0	Keratinocytes	MRPL57
GIPC1	0	0.274214905599199	0.35	0.102	0	Keratinocytes	GIPC1
EBPL	0	0.274000852016704	0.425	0.164	0	Keratinocytes	EBPL
PSME2	0	0.273838057705561	0.742	0.397	0	Keratinocytes	PSME2
GGCT	0	0.273618584831015	0.397	0.157	0	Keratinocytes	GGCT
CD9	0	0.273549294786429	0.976	0.727	0	Keratinocytes	CD9
THOC7	0	0.271664120534556	0.45	0.197	0	Keratinocytes	THOC7
HIST1H1C	0	0.271559806603923	0.311	0.116	0	Keratinocytes	HIST1H1C
COX7C	0	0.271413070239899	0.981	0.858	0	Keratinocytes	COX7C
KCTD1	0	0.270863057343424	0.304	0.048	0	Keratinocytes	KCTD1
MDH1	0	0.270341547431607	0.45	0.214	0	Keratinocytes	MDH1
MRPL12	0	0.269990318422709	0.345	0.092	0	Keratinocytes	MRPL12
F12	0	0.26948552113754	0.266	0.034	0	Keratinocytes	F12
PGK1	0	0.267511671359453	0.698	0.375	0	Keratinocytes	PGK1
UCHL3	0	0.266841785341445	0.346	0.097	0	Keratinocytes	UCHL3
CAPN1	0	0.266337946306637	0.371	0.121	0	Keratinocytes	CAPN1
SNRPD2	0	0.266327202420457	0.9	0.601	0	Keratinocytes	SNRPD2
FBXW7	0	0.266053119217312	0.348	0.151	0	Keratinocytes	FBXW7
CCT3	0	0.265605575792486	0.664	0.349	0	Keratinocytes	CCT3
NDUFA1	0	0.265235692775763	0.78	0.458	0	Keratinocytes	NDUFA1
HSPB1	0	0.264764092699928	0.997	0.935	0	Keratinocytes	HSPB1
SF3B6	0	0.26289664175951	0.791	0.444	0	Keratinocytes	SF3B6
BCL11A	0	0.26276193962541	0.342	0.104	0	Keratinocytes	BCL11A
RBX1	0	0.262444903354733	0.803	0.46	0	Keratinocytes	RBX1
MT-CO1	0	0.261812084594367	0.998	0.997	0	Keratinocytes	MT-CO1
MGST2	0	0.260693450055642	0.451	0.2	0	Keratinocytes	MGST2
DHCR24	0	0.260430799099732	0.298	0.064	0	Keratinocytes	DHCR24
BCL11B	0	0.260162547520117	0.328	0.068	0	Keratinocytes	BCL11B
NDUFB2	0	0.260071238463496	0.776	0.445	0	Keratinocytes	NDUFB2
NDUFV2	0	0.259638382347562	0.739	0.385	0	Keratinocytes	NDUFV2
PSAT1	0	0.259418211852565	0.28	0.039	0	Keratinocytes	PSAT1
NDUFS8	0	0.258387828747655	0.436	0.205	0	Keratinocytes	NDUFS8
SF3B5	0	0.257649828737934	0.767	0.433	0	Keratinocytes	SF3B5
RPL6	0	0.257277625006096	1	0.998	0	Keratinocytes	RPL6
NDUFA7	0	0.256049206414457	0.412	0.171	0	Keratinocytes	NDUFA7
IL20RB	0	0.255888654541896	0.268	0.036	0	Keratinocytes	IL20RB
DDT	0	0.255879609654667	0.642	0.34	0	Keratinocytes	DDT
TMA7	0	0.255436002964876	0.945	0.718	0	Keratinocytes	TMA7
SLC39A6	0	0.25420419564007	0.352	0.132	0	Keratinocytes	SLC39A6
KLC3	0	0.254065622376625	0.257	0.023	0	Keratinocytes	KLC3
TUBA1C	0	0.253760832454749	0.675	0.437	0	Keratinocytes	TUBA1C
HMGN2	0	0.253544611738105	0.737	0.513	0	Keratinocytes	HMGN2
SUB1	0	0.253193869569509	0.923	0.762	0	Keratinocytes	SUB1
MRPL52	0	0.252893971668924	0.428	0.201	0	Keratinocytes	MRPL52
MZT2B	0	0.252488217677136	0.868	0.581	0	Keratinocytes	MZT2B
