	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
SLC7A11	9.97861205010928e-22	0.588970645061149	0.332	0.162	1.50467491103598e-17	SLC16A6+ Monocytes	SLC7A11
AC020656.1	1.27141183759907e-21	0.426019845076914	0.263	0.108	1.91716190991564e-17	SLC16A6+ Monocytes	AC020656.1
GK	2.75809906724305e-21	0.359162761260144	0.479	0.277	4.15893758349579e-17	SLC16A6+ Monocytes	GK
ITGAX	5.68523979803663e-21	0.313963466337292	0.525	0.326	8.57277309145943e-17	SLC16A6+ Monocytes	ITGAX
ATP6V1A	1.24319481130958e-20	0.360965542031732	0.578	0.4	1.87461345597372e-16	SLC16A6+ Monocytes	ATP6V1A
CYTH1	1.69152440374741e-20	0.294575874667555	0.573	0.375	2.55064964841071e-16	SLC16A6+ Monocytes	CYTH1
LRRFIP1	2.3316555175981e-20	0.329968962309723	0.89	0.803	3.51590335498617e-16	SLC16A6+ Monocytes	LRRFIP1
ATP1B3	2.63876556020636e-20	0.388950121631518	0.843	0.734	3.97899458823517e-16	SLC16A6+ Monocytes	ATP1B3
GRB2	4.67280367837618e-20	0.322753247270191	0.744	0.577	7.04612066662344e-16	SLC16A6+ Monocytes	GRB2
CHSY1	4.95956667600504e-20	0.351194415779199	0.431	0.254	7.478530590748e-16	SLC16A6+ Monocytes	CHSY1
CREM	5.02256611767334e-20	0.392784874503515	0.819	0.708	7.57352744883964e-16	SLC16A6+ Monocytes	CREM
ZEB2	7.46193395729494e-20	0.378305617521614	0.91	0.865	1.1251850214205e-15	SLC16A6+ Monocytes	ZEB2
NCEH1	9.04349558133954e-20	0.26620974526191	0.31	0.151	1.36366869871019e-15	SLC16A6+ Monocytes	NCEH1
HLA-DRB1	1.37985393032858e-19	0.339718408720183	0.999	0.998	2.08068174154246e-15	SLC16A6+ Monocytes	HLA-DRB1
AHR	1.81983281418209e-19	0.49085290879639	0.751	0.636	2.74412590050517e-15	SLC16A6+ Monocytes	AHR
ACP5	4.16308094119733e-19	0.417071207140034	0.581	0.397	6.27750975123145e-15	SLC16A6+ Monocytes	ACP5
UGCG	7.89144230956618e-19	0.305926998014487	0.417	0.243	1.18995058585948e-14	SLC16A6+ Monocytes	UGCG
IFI30	8.88812812645316e-19	0.383328367549383	0.821	0.696	1.34024084018787e-14	SLC16A6+ Monocytes	IFI30
CALR	1.40455259411659e-18	0.361325453413971	0.913	0.813	2.1179248566684e-14	SLC16A6+ Monocytes	CALR
MMP19	1.71081534092325e-18	0.332179261652399	0.688	0.509	2.57973845257817e-14	SLC16A6+ Monocytes	MMP19
OGDH	2.02866564586197e-18	0.268820629026537	0.422	0.245	3.05902492739527e-14	SLC16A6+ Monocytes	OGDH
ANXA11	3.01707914451422e-18	0.265971102734196	0.523	0.343	4.54945364201299e-14	SLC16A6+ Monocytes	ANXA11
ABCA1	4.04278677090934e-18	0.378084089120353	0.826	0.707	6.0961181718542e-14	SLC16A6+ Monocytes	ABCA1
MXD1	5.46088498566534e-18	0.363427078606341	0.802	0.658	8.23446846988477e-14	SLC16A6+ Monocytes	MXD1
TLN1	6.23422161750275e-18	0.285324108731934	0.518	0.347	9.4005827770324e-14	SLC16A6+ Monocytes	TLN1
PRDX1	7.74719708955357e-18	0.310989205869945	0.893	0.811	1.16819984913378e-13	SLC16A6+ Monocytes	PRDX1
C5AR1	8.66051569880281e-18	0.376346373450461	0.893	0.778	1.30591916222248e-13	SLC16A6+ Monocytes	C5AR1
GCLM	2.45287837254336e-17	0.326839480308319	0.477	0.309	3.69869529795814e-13	SLC16A6+ Monocytes	GCLM
LGALS3	2.78276703856433e-17	0.374481723493784	0.871	0.808	4.19613441745115e-13	SLC16A6+ Monocytes	LGALS3
CHST11	6.68487214040681e-17	0.258806840398518	0.311	0.164	1.00801187005194e-12	SLC16A6+ Monocytes	CHST11
CTSS	7.61512678647439e-17	0.295498608171924	0.987	0.966	1.14828496813247e-12	SLC16A6+ Monocytes	CTSS
IL1R2	1.07566624175482e-16	0.34662867902009	0.319	0.17	1.6219971259421e-12	SLC16A6+ Monocytes	IL1R2
SLC25A19	1.26280778239413e-16	0.251543178563383	0.29	0.147	1.90418785507212e-12	SLC16A6+ Monocytes	SLC25A19
ARPP19	1.60698268125985e-16	0.277609226458371	0.426	0.268	2.42316918507173e-12	SLC16A6+ Monocytes	ARPP19
RALA	2.60564717554496e-16	0.294875382134232	0.529	0.349	3.92905537600425e-12	SLC16A6+ Monocytes	RALA
GM2A	2.85021227284418e-16	0.314069094174633	0.554	0.385	4.29783508622175e-12	SLC16A6+ Monocytes	GM2A
GRN	3.05937445065819e-16	0.354552890556311	0.845	0.746	4.61323073414748e-12	SLC16A6+ Monocytes	GRN
IL1R1	4.09162683282096e-16	0.281301403036277	0.328	0.182	6.16976410121072e-12	SLC16A6+ Monocytes	IL1R1
HLA-DPB1	4.44487202029939e-16	0.361814967525455	0.989	0.992	6.70242251940946e-12	SLC16A6+ Monocytes	HLA-DPB1
ABCG1	6.67365316784518e-16	0.25730469176561	0.436	0.274	1.00632016117937e-11	SLC16A6+ Monocytes	ABCG1
MAP2K1	7.03160603320111e-16	0.266589691813022	0.463	0.301	1.0602958737464e-11	SLC16A6+ Monocytes	MAP2K1
DNAJB9	7.43555854797612e-16	0.281209203427067	0.474	0.311	1.12120787344932e-11	SLC16A6+ Monocytes	DNAJB9
HSPA5	1.20217076461683e-15	0.407564611874839	0.859	0.77	1.81275329596572e-11	SLC16A6+ Monocytes	HSPA5
MBP	1.42195594012184e-15	0.318738035423338	0.472	0.32	2.14416736210973e-11	SLC16A6+ Monocytes	MBP
NR1H3	1.52068474386031e-15	0.271887453532653	0.284	0.144	2.29304052526696e-11	SLC16A6+ Monocytes	NR1H3
CIITA	3.1568338954593e-15	0.27012981418167	0.415	0.262	4.76018983096308e-11	SLC16A6+ Monocytes	CIITA
FNDC3B	3.68249823669938e-15	0.264137427078555	0.55	0.381	5.552839091119e-11	SLC16A6+ Monocytes	FNDC3B
YBX3	4.90628536922481e-15	0.302231072468849	0.802	0.708	7.3981877082541e-11	SLC16A6+ Monocytes	YBX3
GPATCH2L	1.09028329707537e-14	0.297297977784194	0.399	0.25	1.64403818365995e-10	SLC16A6+ Monocytes	GPATCH2L
INSIG1	1.10179241808973e-14	0.408407204857699	0.935	0.884	1.6613927872375e-10	SLC16A6+ Monocytes	INSIG1
TTYH3	1.72503538174179e-14	0.34064355505961	0.54	0.398	2.60118085212844e-10	SLC16A6+ Monocytes	TTYH3
FPR3	1.89453751382666e-14	0.367769503621315	0.595	0.452	2.85677311709923e-10	SLC16A6+ Monocytes	FPR3
CTSD	2.34203128514982e-14	0.346569976374169	0.848	0.757	3.53154897487742e-10	SLC16A6+ Monocytes	CTSD
FOXN3	3.49526431290039e-14	0.291312393181519	0.507	0.361	5.27050905742249e-10	SLC16A6+ Monocytes	FOXN3
FAM107B	3.92515315925185e-14	0.253422844488072	0.675	0.499	5.91873844883586e-10	SLC16A6+ Monocytes	FAM107B
HMOX1	7.87420788010834e-14	0.766547889533208	0.775	0.712	1.18735180624154e-09	SLC16A6+ Monocytes	HMOX1
LAPTM5	8.0552621709103e-14	0.261260381646853	0.893	0.824	1.21465298275156e-09	SLC16A6+ Monocytes	LAPTM5
CEP170	1.9032555574843e-13	0.252502686271106	0.537	0.38	2.86991905513058e-09	SLC16A6+ Monocytes	CEP170
BNIP3L	1.9458841117454e-13	0.371116851865014	0.644	0.51	2.93419865210089e-09	SLC16A6+ Monocytes	BNIP3L
RANBP2	2.47643254642731e-13	0.323192742063825	0.54	0.384	3.73421263675774e-09	SLC16A6+ Monocytes	RANBP2
ARL8B	4.07101128375798e-13	0.252291813198011	0.715	0.573	6.13867791477865e-09	SLC16A6+ Monocytes	ARL8B
APOE	4.36007994967639e-13	0.601328337689345	0.331	0.2	6.57456455611702e-09	SLC16A6+ Monocytes	APOE
GPAT3	4.69628264468576e-13	0.336708417446893	0.433	0.283	7.08152459992165e-09	SLC16A6+ Monocytes	GPAT3
PPP1CB	5.15783303134849e-13	0.269290039578589	0.723	0.586	7.77749642797039e-09	SLC16A6+ Monocytes	PPP1CB
SLC2A3	6.25222174134038e-13	0.347388538445475	0.745	0.599	9.42772516376716e-09	SLC16A6+ Monocytes	SLC2A3
FGL2	1.20522488304835e-12	0.400751322033876	0.872	0.812	1.8173586011486e-08	SLC16A6+ Monocytes	FGL2
FOSL2	1.55591366024178e-12	0.271261514866762	0.739	0.606	2.34616220827858e-08	SLC16A6+ Monocytes	FOSL2
TPM4	2.0790770278363e-12	0.274114287093094	0.769	0.652	3.13504025027435e-08	SLC16A6+ Monocytes	TPM4
ATP2A2	2.32427548525976e-12	0.264279481453274	0.549	0.405	3.50477500422319e-08	SLC16A6+ Monocytes	ATP2A2
CMTM6	2.4340226597843e-12	0.257382967022174	0.764	0.649	3.67026276868874e-08	SLC16A6+ Monocytes	CMTM6
NABP1	4.29976237315572e-12	0.352486638093618	0.655	0.515	6.48361168248151e-08	SLC16A6+ Monocytes	NABP1
STK4	4.62851704176848e-12	0.261970042360186	0.691	0.556	6.97934084728269e-08	SLC16A6+ Monocytes	STK4
CELF1	6.63037362406335e-12	0.270501994147187	0.507	0.362	9.99794038772512e-08	SLC16A6+ Monocytes	CELF1
CD81	9.66485108979201e-12	0.255921619073957	0.549	0.41	1.45736289582974e-07	SLC16A6+ Monocytes	CD81
IL6R	1.59568931834086e-11	0.251086501294438	0.502	0.362	2.40613992312618e-07	SLC16A6+ Monocytes	IL6R
PAPSS2	4.58424379458622e-11	0.263937784098057	0.433	0.302	6.91258121785656e-07	SLC16A6+ Monocytes	PAPSS2
SH3BP5	5.31759528250218e-11	0.271293214862073	0.658	0.531	8.01840192648503e-07	SLC16A6+ Monocytes	SH3BP5
TACC1	2.29710964722825e-10	0.257735887608646	0.756	0.639	3.46381163705548e-06	SLC16A6+ Monocytes	TACC1
GPNMB	2.43264747802471e-10	0.460268892521568	0.587	0.481	3.66818913211346e-06	SLC16A6+ Monocytes	GPNMB
C15orf48	2.44894281591743e-10	0.257868024471279	0.584	0.428	3.69276087212189e-06	SLC16A6+ Monocytes	C15orf48
ASPH	3.3704449825515e-10	0.254977989918562	0.46	0.335	5.0822939891894e-06	SLC16A6+ Monocytes	ASPH
SELENOK	3.44267370655636e-10	0.25797884213779	0.807	0.721	5.19120768211634e-06	SLC16A6+ Monocytes	SELENOK
TFRC	2.35467581737069e-09	0.51059017360833	0.451	0.348	3.55061566501326e-05	SLC16A6+ Monocytes	TFRC
PPIF	4.7179833430786e-08	0.315086571848902	0.521	0.427	0.000711424708302822	SLC16A6+ Monocytes	PPIF
CYCS	9.59962244899458e-07	0.250446870875662	0.624	0.524	0.0144752706908389	SLC16A6+ Monocytes	CYCS
MAT2A	5.3387031804357e-05	0.283571080391859	0.37	0.294	0.8050230525779	SLC16A6+ Monocytes	MAT2A
CCL18	0.000171018608617356	0.595525408315142	0.414	0.358	1	SLC16A6+ Monocytes	CCL18
HSPA1B	8.06176965192933e-195	2.29729214278907	0.99	0.661	1.21563424581442e-190	MARCO+ Macrophages	HSPA1B
DNAJB1	9.70246006455588e-156	1.93290465843729	0.961	0.602	1.46303395313438e-151	MARCO+ Macrophages	DNAJB1
HSPA6	8.1945544305245e-139	2.110791510117	0.793	0.318	1.23565686257879e-134	MARCO+ Macrophages	HSPA6
FOS	4.0435991679183e-137	2.19821536790529	0.799	0.358	6.097343185304e-133	MARCO+ Macrophages	FOS
JUN	8.87879926997178e-135	1.83899036613811	0.805	0.379	1.33883414191904e-130	MARCO+ Macrophages	JUN
UBC	7.65972065072707e-120	1.12183995917367	0.994	0.935	1.15500927692314e-115	MARCO+ Macrophages	UBC
ATF3	1.19907959108776e-118	1.32798037782481	0.714	0.248	1.80809211540123e-114	MARCO+ Macrophages	ATF3
FOSB	9.69308747640664e-107	1.40940965277806	0.746	0.347	1.46162066056736e-102	MARCO+ Macrophages	FOSB
KLF4	2.90588933826709e-104	1.17624870517908	0.696	0.264	4.38179053317295e-100	MARCO+ Macrophages	KLF4
KLF6	2.73286624597518e-101	1.18634832855874	0.958	0.748	4.12088901230598e-97	MARCO+ Macrophages	KLF6
MAF	9.35401030500456e-101	1.15803550419778	0.747	0.344	1.41049121389164e-96	MARCO+ Macrophages	MAF
RHOB	1.37755534635898e-95	1.04032308168311	0.585	0.176	2.0772157067747e-91	MARCO+ Macrophages	RHOB
IER5	1.32539050965014e-94	1.42319319673011	0.749	0.396	1.99855634950145e-90	MARCO+ Macrophages	IER5
NR4A2	1.62939839040164e-94	1.6250277614189	0.756	0.398	2.45696983288664e-90	MARCO+ Macrophages	NR4A2
CST3	2.74739726793033e-90	1.18354796113008	0.999	0.988	4.14280034031214e-86	MARCO+ Macrophages	CST3
UBB	4.73809615913789e-87	0.880914295403155	0.901	0.648	7.14457519836402e-83	MARCO+ Macrophages	UBB
EGR1	1.40671096961e-77	1.10872671157472	0.467	0.126	2.12117947107492e-73	MARCO+ Macrophages	EGR1
TXNIP	8.75679053303778e-75	0.976187143611409	0.669	0.291	1.32043644447677e-70	MARCO+ Macrophages	TXNIP
MARCO	5.56214320130274e-73	1.13172496106137	0.364	0.069	8.3871557332444e-69	MARCO+ Macrophages	MARCO
KLF2	7.05734539916832e-72	0.727599750890067	0.442	0.113	1.06417711274059e-67	MARCO+ Macrophages	KLF2
ACTB	4.97539635219975e-68	1.05956258056384	0.997	0.98	7.50240015948201e-64	MARCO+ Macrophages	ACTB
RNASE1	3.41681983164312e-67	1.06772427912662	0.924	0.681	5.15222262413466e-63	MARCO+ Macrophages	RNASE1
KLF10	5.74970472489661e-66	0.711927232069559	0.473	0.152	8.66997975467159e-62	MARCO+ Macrophages	KLF10
TENT5A	6.49244950103695e-65	0.972104025528733	0.516	0.182	9.78996460261362e-61	MARCO+ Macrophages	TENT5A
HSPB1	4.51714452472028e-64	1.06943968450957	0.937	0.861	6.81140222882572e-60	MARCO+ Macrophages	HSPB1
SELENOP	9.5117803288829e-64	0.905126932902218	0.943	0.755	1.43428135579225e-59	MARCO+ Macrophages	SELENOP
CLK1	1.19184418421455e-63	0.828136607619194	0.629	0.312	1.79718184537712e-59	MARCO+ Macrophages	CLK1
MS4A6A	9.86446596149432e-61	0.712579682039484	0.913	0.765	1.48746282233373e-56	MARCO+ Macrophages	MS4A6A
FRMD4B	1.03971767659359e-60	0.622957373403826	0.494	0.177	1.56779028453547e-56	MARCO+ Macrophages	FRMD4B
DAB2	2.77181914607303e-60	0.814151560263883	0.804	0.504	4.17962609036352e-56	MARCO+ Macrophages	DAB2
SLC40A1	6.720247274473e-59	0.956758693765931	0.602	0.27	1.01334608651778e-54	MARCO+ Macrophages	SLC40A1
PLTP	9.10431436941682e-59	0.917265779699774	0.781	0.507	1.37283956376436e-54	MARCO+ Macrophages	PLTP
ZFP36L2	2.49438004933741e-57	0.786354447758526	0.689	0.344	3.76127567639588e-53	MARCO+ Macrophages	ZFP36L2
NR4A1	3.58112285398194e-52	0.816433388264014	0.536	0.25	5.39997515151937e-48	MARCO+ Macrophages	NR4A1
GPR34	1.23400080599233e-51	0.501968838451914	0.343	0.088	1.86074981535584e-47	MARCO+ Macrophages	GPR34
MAMDC2	6.18968435286789e-51	0.511301211746498	0.313	0.072	9.33342503568949e-47	MARCO+ Macrophages	MAMDC2
P2RY14	1.99482103447407e-50	0.47206828872005	0.256	0.044	3.00799063788345e-46	MARCO+ Macrophages	P2RY14
CD36	3.02872871478358e-49	0.934942718233574	0.621	0.356	4.56702002902217e-45	MARCO+ Macrophages	CD36
C1QA	2.4716614507696e-48	0.697759332038767	0.967	0.919	3.72701830161548e-44	MARCO+ Macrophages	C1QA
TSC22D3	1.29088251957155e-47	0.587049311967209	0.47	0.189	1.94652175126193e-43	MARCO+ Macrophages	TSC22D3
ZFP36L1	1.55325311929352e-47	0.60999673818674	0.961	0.805	2.34215037858269e-43	MARCO+ Macrophages	ZFP36L1
CFD	1.38852139331774e-46	0.982269565166878	0.717	0.508	2.09375140898382e-42	MARCO+ Macrophages	CFD
JUND	3.64752404201448e-45	0.567730701528283	0.952	0.798	5.50010150295364e-41	MARCO+ Macrophages	JUND
CALM2	6.00291313234455e-43	0.663884749794384	0.835	0.673	9.05179271226234e-39	MARCO+ Macrophages	CALM2
CCL13	1.57491065869104e-41	0.929201389396277	0.499	0.226	2.37480778224022e-37	MARCO+ Macrophages	CCL13
BAG3	3.13603483364605e-41	0.773170851409477	0.63	0.376	4.72882692565488e-37	MARCO+ Macrophages	BAG3
CTSC	3.52583710815218e-41	0.757882066082482	0.883	0.721	5.31660977538267e-37	MARCO+ Macrophages	CTSC
MEF2C	4.84449983947727e-41	0.497742142743406	0.376	0.137	7.30502130794778e-37	MARCO+ Macrophages	MEF2C
MPEG1	6.12138783554038e-40	0.635588573791124	0.56	0.31	9.23044071721134e-36	MARCO+ Macrophages	MPEG1
ZNF331	8.70036735207433e-39	0.817172227004315	0.431	0.195	1.31192839301929e-34	MARCO+ Macrophages	ZNF331
COLEC12	4.05913107094088e-37	0.505044510538377	0.419	0.178	6.12076374187175e-33	MARCO+ Macrophages	COLEC12
C1QB	6.7730698992829e-37	0.603373905785607	0.943	0.826	1.02131121011287e-32	MARCO+ Macrophages	C1QB
JUNB	7.34143190365047e-37	0.915703778558936	0.805	0.691	1.10701451675145e-32	MARCO+ Macrophages	JUNB
NPC2	8.21443544663248e-37	0.451465916727568	0.976	0.924	1.23865472099771e-32	MARCO+ Macrophages	NPC2
VSIG4	2.15284149247585e-35	0.456648187522066	0.308	0.101	3.24626968650434e-31	MARCO+ Macrophages	VSIG4
MAFB	3.38056711577466e-35	0.631722773587627	0.796	0.549	5.09755715387661e-31	MARCO+ Macrophages	MAFB
AIF1	4.14849075786514e-35	0.554233326737262	0.967	0.935	6.25550921378484e-31	MARCO+ Macrophages	AIF1
NCF1	9.48091231327168e-35	0.779765781864221	0.386	0.167	1.42962676771824e-30	MARCO+ Macrophages	NCF1
FOLR2	2.92131246555787e-34	0.599410586434933	0.768	0.565	4.40504706681471e-30	MARCO+ Macrophages	FOLR2
SLC38A2	7.03469377609552e-34	0.678251998260232	0.651	0.442	1.06076147449744e-29	MARCO+ Macrophages	SLC38A2
ACTG1	3.47362510060413e-33	0.507073207261608	0.954	0.89	5.23787928920097e-29	MARCO+ Macrophages	ACTG1
ITM2B	5.55550238580665e-33	0.467399303929905	0.973	0.941	8.37714204755784e-29	MARCO+ Macrophages	ITM2B
F13A1	8.6888414376782e-33	0.656439047536252	0.892	0.735	1.3101904003875e-28	MARCO+ Macrophages	F13A1
IER2	1.36774552414622e-32	0.705447616276228	0.494	0.279	2.06242347586009e-28	MARCO+ Macrophages	IER2
S100A4	1.98668003904274e-31	0.850023573101227	0.904	0.818	2.99571483087255e-27	MARCO+ Macrophages	S100A4
EMP1	8.9584391205989e-31	0.779145974305921	0.578	0.359	1.35084303499511e-26	MARCO+ Macrophages	EMP1
SNX2	3.04847500737241e-30	0.455590830137052	0.476	0.256	4.59679546361685e-26	MARCO+ Macrophages	SNX2
INTS6	3.79829426906864e-30	0.614108555508843	0.461	0.252	5.72744792832861e-26	MARCO+ Macrophages	INTS6
CEBPD	5.01879464280676e-30	0.662448256160565	0.566	0.343	7.56784044188832e-26	MARCO+ Macrophages	CEBPD
CITED2	7.68896659184336e-30	0.473704011938456	0.319	0.124	1.15941927238406e-25	MARCO+ Macrophages	CITED2
HBEGF	9.52480531563498e-29	0.550120460637026	0.343	0.144	1.4362453935446e-24	MARCO+ Macrophages	HBEGF
RGS2	2.39394374192341e-27	0.927868281680615	0.621	0.424	3.60982776844632e-23	MARCO+ Macrophages	RGS2
LILRB5	3.58549646922014e-27	0.55841760666435	0.525	0.331	5.40657012593705e-23	MARCO+ Macrophages	LILRB5
GADD45B	4.05800666499277e-26	0.731039571605975	0.645	0.459	6.1190682501426e-22	MARCO+ Macrophages	GADD45B
HSPA1A	4.53948148613202e-26	0.537213262591247	1	0.99	6.84508413293847e-22	MARCO+ Macrophages	HSPA1A
PPP1R15A	8.95339723854951e-26	0.564450195606659	0.838	0.74	1.35008276960088e-21	MARCO+ Macrophages	PPP1R15A
ANXA4	1.05749204636446e-25	0.515373078080644	0.4	0.21	1.59459225671297e-21	MARCO+ Macrophages	ANXA4
VAMP8	1.68710268046701e-25	0.486451982694381	0.653	0.471	2.5439821318762e-21	MARCO+ Macrophages	VAMP8
DNAJA1	2.97098767621637e-25	0.55565640720092	0.865	0.777	4.47995231696666e-21	MARCO+ Macrophages	DNAJA1
TRIB1	2.9912146463678e-25	0.406848652915677	0.286	0.115	4.510452565258e-21	MARCO+ Macrophages	TRIB1
EID1	6.31511856562868e-24	0.357382500348492	0.391	0.203	9.52256728511149e-20	MARCO+ Macrophages	EID1
NUPR1	7.62842259074616e-24	0.369983247902697	0.28	0.112	1.15028984245861e-19	MARCO+ Macrophages	NUPR1
HNRNPU	8.56003072379481e-24	0.54078259605769	0.847	0.729	1.29076703284102e-19	MARCO+ Macrophages	HNRNPU
FCGRT	1.73145163492367e-23	0.507529927361016	0.801	0.705	2.6108559203014e-19	MARCO+ Macrophages	FCGRT
TMSB10	7.38345387891184e-23	0.340441879472629	1	0.999	1.11335101040112e-18	MARCO+ Macrophages	TMSB10
MOB4	1.40151691970189e-22	0.438673351567637	0.35	0.181	2.11334736321847e-18	MARCO+ Macrophages	MOB4
