	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
VEGFA	0	0.649390075505218	0.558	0.228	0	Monocytes	VEGFA
CFLAR	0	0.646245783908957	0.939	0.706	0	Monocytes	CFLAR
CALR	0	0.637480778541961	0.947	0.84	0	Monocytes	CALR
TYROBP	0	0.610156165390126	0.973	0.65	0	Monocytes	TYROBP
OAZ1	0	0.515737228303859	0.997	0.982	0	Monocytes	OAZ1
GLS	1.34665959470348e-306	0.678541423752651	0.742	0.451	2.86771160692106e-302	Monocytes	GLS
ST8SIA4	5.04022596205347e-306	0.687167044876544	0.659	0.356	1.07331611861929e-301	Monocytes	ST8SIA4
LITAF	5.26437522743119e-305	0.652120422625963	0.891	0.614	1.12104870468147e-300	Monocytes	LITAF
ALCAM	1.15704695545808e-302	0.675655850014347	0.604	0.286	2.46393149164797e-298	Monocytes	ALCAM
IER3	3.58321950306344e-302	0.658539848431019	0.907	0.671	7.63046593177359e-298	Monocytes	IER3
NFKBIA	1.48260149144542e-296	0.621718349332602	0.981	0.819	3.15719987603303e-292	Monocytes	NFKBIA
RAB9A	3.39452388601316e-295	0.745361050194203	0.55	0.254	7.22863861526503e-291	Monocytes	RAB9A
MALT1	2.37501938867864e-294	0.720856835939001	0.531	0.239	5.05760378819117e-290	Monocytes	MALT1
CMTM6	1.33754429988445e-292	0.61404971323475	0.876	0.644	2.84830058660394e-288	Monocytes	CMTM6
FCER1A	1.52356832738376e-291	0.65674728599127	0.447	0.154	3.24443875316372e-287	Monocytes	FCER1A
BCAT1	1.87272701667392e-291	0.64267648986981	0.611	0.288	3.98797218200711e-287	Monocytes	BCAT1
CYTIP	1.69633899051829e-289	0.747035253348552	0.709	0.428	3.6123538803087e-285	Monocytes	CYTIP
RALA	2.85804256038433e-286	0.732992693551818	0.791	0.586	6.08620163233844e-282	Monocytes	RALA
SIPA1L1	5.59099928452631e-283	0.52480627719924	0.462	0.176	1.19060329763988e-278	Monocytes	SIPA1L1
LST1	3.60031836905257e-281	0.600626454999188	0.774	0.489	7.66687796689744e-277	Monocytes	LST1
NINJ1	7.89749999906459e-281	0.632165396648887	0.797	0.522	1.6817726248008e-276	Monocytes	NINJ1
GNA12	1.16570012400927e-275	0.541414626339113	0.52	0.229	2.48235841407774e-271	Monocytes	GNA12
OPN3	2.50258539394627e-270	0.620307056285689	0.532	0.242	5.32925559640858e-266	Monocytes	OPN3
RAP1B	2.82316860997025e-268	0.57771238792393	0.807	0.579	6.01193755493165e-264	Monocytes	RAP1B
HSPA5	2.42322951694253e-257	0.6891459973607	0.893	0.713	5.16026725632912e-253	Monocytes	HSPA5
RNF144B	2.79179144109263e-252	0.661703409369321	0.545	0.266	5.94511987380675e-248	Monocytes	RNF144B
CXCL2	1.01612708820095e-249	0.390960064876141	0.746	0.416	2.16384263432391e-245	Monocytes	CXCL2
TNFAIP2	6.84522980975179e-248	0.603291599792295	0.672	0.375	1.45769168798664e-243	Monocytes	TNFAIP2
PTPN1	2.66085510140143e-247	0.575216822849125	0.727	0.448	5.66629093843435e-243	Monocytes	PTPN1
AREG	9.69245000601169e-247	1.48395521995439	0.403	0.155	2.06400722878019e-242	Monocytes	AREG
EPB41L3	3.57548513514945e-246	0.557515641465868	0.446	0.182	7.61399559530075e-242	Monocytes	EPB41L3
CXCL3	1.22103839157815e-245	0.627142809036058	0.695	0.38	2.60020125486566e-241	Monocytes	CXCL3
CREM	2.04480906653846e-245	0.577751707856288	0.845	0.592	4.35442090719364e-241	Monocytes	CREM
MAP2K1	9.72627847488062e-242	0.535742455213293	0.549	0.274	2.07121100122583e-237	Monocytes	MAP2K1
TMSB4X	2.2643425141333e-241	0.487144489528713	1	0.99	4.82191738384686e-237	Monocytes	TMSB4X
SLC7A11	8.05922427731736e-239	1.00590576486955	0.481	0.225	1.71621180985473e-234	Monocytes	SLC7A11
ZFYVE16	6.77907837248926e-238	0.613612839703401	0.555	0.27	1.44360473942159e-233	Monocytes	ZFYVE16
C5AR1	3.43453923519414e-235	0.789374138577884	0.634	0.347	7.31385130134591e-231	Monocytes	C5AR1
IL1R2	3.08301202069697e-231	0.795203653209275	0.44	0.191	6.5652740980742e-227	Monocytes	IL1R2
HLA-DRA	2.7560700753232e-229	0.485912006041309	1	0.875	5.86905122540076e-225	Monocytes	HLA-DRA
FOSL2	2.45774027906752e-228	0.560656030886888	0.713	0.447	5.23375792427429e-224	Monocytes	FOSL2
IL23A	5.42743238599513e-228	1.19623215231213	0.261	0.063	1.15577172659766e-223	Monocytes	IL23A
MIR155HG	8.70965288316418e-228	0.790108524313239	0.543	0.274	1.85472058146981e-223	Monocytes	MIR155HG
KCTD20	9.61676401311716e-228	0.504874108267772	0.488	0.228	2.0478898965933e-223	Monocytes	KCTD20
ETV3	4.42370782862476e-226	0.555752108554691	0.619	0.351	9.42028582105642e-222	Monocytes	ETV3
TXNRD1	3.85918518898561e-225	0.927260496847318	0.646	0.41	8.21813485994485e-221	Monocytes	TXNRD1
JAML	4.69394168224979e-224	0.435810597920377	0.387	0.145	9.99574881235093e-220	Monocytes	JAML
MARCKS	3.06991601949621e-223	0.596436730498692	0.907	0.753	6.53738616351718e-219	Monocytes	MARCKS
SERP1	1.93150808268072e-222	0.524539346984373	0.867	0.736	4.11314646206859e-218	Monocytes	SERP1
LIMS1	9.58013267987571e-222	0.646722124210902	0.648	0.396	2.04008925417953e-217	Monocytes	LIMS1
PDE4A	2.37333555958587e-217	0.5107272473966	0.558	0.297	5.0540180741381e-213	Monocytes	PDE4A
MAFG	2.67280393531957e-216	0.528715903699453	0.574	0.314	5.69173598026303e-212	Monocytes	MAFG
HLA-DRB1	4.60471289367032e-215	0.51914514431742	1	0.872	9.80573610707094e-211	Monocytes	HLA-DRB1
PPP1R15B	1.28106821214658e-214	0.594478890889957	0.609	0.346	2.72803475776614e-210	Monocytes	PPP1R15B
HCST	2.29026656772765e-214	0.473426386366674	0.585	0.305	4.87712265597604e-210	Monocytes	HCST
CD86	2.04892639730436e-213	0.575815418732707	0.53	0.274	4.36318876305964e-209	Monocytes	CD86
RHOG	1.25156296769877e-211	0.525658464347995	0.658	0.415	2.66520333971454e-207	Monocytes	RHOG
TET2	2.55754542530906e-209	0.541563713694396	0.573	0.318	5.44629298319564e-205	Monocytes	TET2
EMP3	1.80097840281359e-208	0.515508065413358	0.942	0.75	3.83518350879153e-204	Monocytes	EMP3
FNBP1	3.18360047553478e-208	0.554426450441298	0.769	0.557	6.77947721265132e-204	Monocytes	FNBP1
CYBA	2.04779751014249e-207	0.465618125059194	0.895	0.71	4.36078479784844e-203	Monocytes	CYBA
PIK3R5	1.5771358234925e-204	0.373093649348798	0.344	0.123	3.35851073612727e-200	Monocytes	PIK3R5
LYST	3.69588410633186e-202	0.414628903955921	0.376	0.143	7.87038520443369e-198	Monocytes	LYST
AKAP13	4.08070408297295e-199	0.544224273017579	0.799	0.6	8.6898593446909e-195	Monocytes	AKAP13
VASP	4.13113922273654e-197	0.480493316282259	0.621	0.372	8.79726097481746e-193	Monocytes	VASP
NEAT1	8.96538837745961e-197	0.556816772594918	0.999	0.996	1.90917945498002e-192	Monocytes	NEAT1
TNFRSF4	1.09814172097844e-195	0.463326604489251	0.283	0.087	2.33849279482359e-191	Monocytes	TNFRSF4
MXD1	5.52401600999542e-195	0.575604187093804	0.802	0.58	1.17633920932852e-190	Monocytes	MXD1
ERGIC1	4.88285231107306e-194	0.472348394912839	0.474	0.235	1.03980339964301e-189	Monocytes	ERGIC1
TNFAIP3	3.32277990482238e-193	0.608757256162766	0.798	0.548	7.07585980731926e-189	Monocytes	TNFAIP3
RP2	3.2475129747445e-192	0.463210552923336	0.443	0.205	6.91557887971841e-188	Monocytes	RP2
SERPINA1	2.48509791435977e-191	0.401524545272347	0.357	0.135	5.29201600862913e-187	Monocytes	SERPINA1
PLSCR1	2.457737894815e-188	0.469022818526237	0.512	0.271	5.23375284700854e-184	Monocytes	PLSCR1
EDEM1	1.0437008296418e-187	0.511447507948091	0.595	0.347	2.22256091672222e-183	Monocytes	EDEM1
ALG2	4.2585809061277e-187	0.352656464753165	0.312	0.109	9.06864803959894e-183	Monocytes	ALG2
GPR157	1.84371635341582e-186	0.539009705338157	0.575	0.318	3.926193974599e-182	Monocytes	GPR157
HLA-DQA1	2.04047765412958e-186	0.457664634742672	0.995	0.861	4.34519716446895e-182	Monocytes	HLA-DQA1
GPX4	1.39526528872537e-185	0.446399757729442	0.929	0.832	2.97121743234067e-181	Monocytes	GPX4
SH3BGRL3	3.33600886942532e-185	0.465573063180827	0.959	0.898	7.10403088744122e-181	Monocytes	SH3BGRL3
CD63	2.87222164332677e-184	0.438961361519822	0.969	0.845	6.11639598946435e-180	Monocytes	CD63
MANF	8.55830808552481e-181	0.547888907519475	0.556	0.341	1.82249170681251e-176	Monocytes	MANF
PNPLA8	2.75063567447032e-180	0.460075170128384	0.539	0.294	5.85747866878454e-176	Monocytes	PNPLA8
IL4I1	3.16172319373357e-180	0.416144496741046	0.409	0.179	6.73288954105563e-176	Monocytes	IL4I1
RIT1	4.60317234215111e-178	0.429123860133038	0.493	0.255	9.80245550261078e-174	Monocytes	RIT1
SLC39A8	8.38405189691682e-178	0.504947283548611	0.332	0.131	1.78538385144844e-173	Monocytes	SLC39A8
LRRFIP1	1.97843397057683e-177	0.475808496489596	0.889	0.751	4.21307514034336e-173	Monocytes	LRRFIP1
ADA	8.14068890378866e-176	0.439734936891158	0.295	0.104	1.7335597020618e-171	Monocytes	ADA
PDE4B	3.99160648161248e-175	0.462509072321441	0.728	0.498	8.50012600259378e-171	Monocytes	PDE4B
CSF2RA	5.85499022988278e-175	0.436062262685546	0.524	0.282	1.24682016945354e-170	Monocytes	CSF2RA
RILPL2	5.50237619229618e-172	0.49219065259068	0.556	0.318	1.17173101014947e-167	Monocytes	RILPL2
TNFSF13B	2.80419473977803e-171	0.580197305210134	0.458	0.237	5.97153269835732e-167	Monocytes	TNFSF13B
MSN	3.30545950915269e-171	0.472578751723009	0.734	0.547	7.03897602474065e-167	Monocytes	MSN
BACH1	1.06517908864168e-170	0.539514062964857	0.626	0.415	2.26829886926245e-166	Monocytes	BACH1
PTPN12	1.45037218615737e-170	0.440319259490261	0.499	0.268	3.08856757042213e-166	Monocytes	PTPN12
MYO1G	5.73708765976013e-170	0.393348697095042	0.363	0.155	1.22171281714592e-165	Monocytes	MYO1G
NCF2	8.46124964553972e-168	0.396917833495883	0.427	0.2	1.80182311201768e-163	Monocytes	NCF2
B4GALT5	1.76438905858728e-167	0.417347905597244	0.438	0.214	3.75726650026161e-163	Monocytes	B4GALT5
SPAG9	4.31707506492828e-167	0.428332149627967	0.822	0.618	9.19321135076476e-163	Monocytes	SPAG9
DRAM1	5.61532712823251e-167	0.38750613201207	0.367	0.156	1.19578391195711e-162	Monocytes	DRAM1
GNS	7.59161474863691e-167	0.42408258574537	0.469	0.234	1.61663436072223e-162	Monocytes	GNS
ATP1B3	6.71772672110379e-166	0.547338039204194	0.94	0.857	1.43053990525905e-161	Monocytes	ATP1B3
AC016831.5	1.72489594887644e-164	0.434781585962949	0.429	0.211	3.67316592313239e-160	Monocytes	AC016831.5
TLR2	7.20510839728415e-164	0.445286021249618	0.332	0.133	1.53432783320166e-159	Monocytes	TLR2
ETS2	7.86185340246642e-164	0.414741216993542	0.673	0.435	1.67418168205522e-159	Monocytes	ETS2
IFNGR2	1.01908108428075e-161	0.43619381433819	0.537	0.309	2.17013316897587e-157	Monocytes	IFNGR2
ANTXR2	2.1036383475593e-161	0.385401938515378	0.331	0.133	4.47969786112752e-157	Monocytes	ANTXR2
STAT5A	2.9520556706677e-161	0.423166371268476	0.376	0.169	6.28640255068687e-157	Monocytes	STAT5A
RAB21	2.56495594413368e-156	0.438169209035656	0.599	0.386	5.46207368303266e-152	Monocytes	RAB21
ATP6V1C1	7.61370771868469e-156	0.384828827701747	0.4	0.186	1.6213390586939e-151	Monocytes	ATP6V1C1
CHML	2.99451391732769e-155	0.416382794080115	0.355	0.156	6.37681738694931e-151	Monocytes	CHML
USP12	8.72295216311021e-154	0.478820737238406	0.659	0.453	1.85755266313432e-149	Monocytes	USP12
CD53	1.11824084507882e-153	0.400632852179832	0.532	0.301	2.38129387959534e-149	Monocytes	CD53
METRNL	3.27517467381178e-153	0.433993716860621	0.732	0.522	6.97448446788218e-149	Monocytes	METRNL
HNRNPC	1.05198637032377e-152	0.392417885135609	0.922	0.852	2.24020497560447e-148	Monocytes	HNRNPC
CEP170	7.19901436684647e-151	0.407988707952693	0.5	0.275	1.53303010941996e-146	Monocytes	CEP170
GLIPR1	8.93086990458818e-151	0.650281632054376	0.624	0.436	1.90182874618205e-146	Monocytes	GLIPR1
GPSM3	1.21831766685708e-150	0.404025097577031	0.509	0.288	2.59440747157215e-146	Monocytes	GPSM3
PTPRC	1.65243638664353e-150	0.443573959718221	0.702	0.492	3.5188632853574e-146	Monocytes	PTPRC
MS4A7	1.04425864586739e-149	0.378063615119664	0.609	0.347	2.22374878637461e-145	Monocytes	MS4A7
CYTH1	8.48900691540686e-149	0.380831179228444	0.578	0.346	1.80773402263589e-144	Monocytes	CYTH1
PLAUR	2.01552037623668e-148	0.410112187644474	0.852	0.623	4.29205064119601e-144	Monocytes	PLAUR
RASSF3	2.60784792278249e-148	0.343661799732832	0.353	0.155	5.55341215156531e-144	Monocytes	RASSF3
FAM107B	6.01044575169372e-148	0.421595402425303	0.667	0.438	1.27992442282318e-143	Monocytes	FAM107B
MCOLN2	1.2110217301149e-147	0.423963715547521	0.434	0.226	2.57887077427968e-143	Monocytes	MCOLN2
SDF2L1	1.88217467803218e-147	0.487095316357933	0.452	0.254	4.00809097686954e-143	Monocytes	SDF2L1
TES	2.90221295996076e-147	0.500939464010896	0.604	0.396	6.18026249823643e-143	Monocytes	TES
AC016831.1	1.14194464353179e-146	0.343742424939334	0.32	0.132	2.43177111840095e-142	Monocytes	AC016831.1
SATB1	2.82226396154339e-145	0.378138886234841	0.281	0.109	6.01001110610666e-141	Monocytes	SATB1
CTSS	7.66653159699738e-145	0.374106554554103	0.866	0.658	1.63258790358059e-140	Monocytes	CTSS
SLC7A5	2.27959976452067e-144	0.400906134183914	0.397	0.196	4.85440769854677e-140	Monocytes	SLC7A5
LINC-PINT	7.9090485295889e-143	0.417802131845917	0.545	0.327	1.68423188437596e-138	Monocytes	LINC-PINT
SELENOK	1.5237323671346e-142	0.518691571440825	0.866	0.714	3.24478807581313e-138	Monocytes	SELENOK
NFKB2	3.89917400867124e-142	0.341786429277622	0.406	0.204	8.3032910514654e-138	Monocytes	NFKB2
LILRB2	1.29361343832089e-141	0.332596148138315	0.3	0.12	2.75474981690433e-137	Monocytes	LILRB2
FAS	1.77080209397396e-141	0.301005387525729	0.257	0.093	3.77092305911755e-137	Monocytes	FAS
IFNAR2	1.78514135630061e-141	0.310809639252164	0.275	0.105	3.80145851824215e-137	Monocytes	IFNAR2
ABCA1	8.76793082952749e-141	0.375203493525287	0.594	0.355	1.86713087014788e-136	Monocytes	ABCA1
TTYH2	6.84500799122091e-140	0.324024280210791	0.3	0.123	1.45764445173049e-135	Monocytes	TTYH2
PTPRE	1.42210751996212e-139	0.44973277294792	0.559	0.35	3.02837796375934e-135	Monocytes	PTPRE
EMILIN2	2.22803530834267e-139	0.36388972599097	0.483	0.267	4.74460118911572e-135	Monocytes	EMILIN2
THAP2	2.59413838945859e-139	0.497078304769325	0.35	0.164	5.52421770035207e-135	Monocytes	THAP2
SEC61B	4.45027021615624e-139	0.432520784200105	0.838	0.742	9.4768504253047e-135	Monocytes	SEC61B
SNHG16	5.94229505409650e-139	0.516067291929403	0.519	0.336	1.26541173176985e-134	Monocytes	SNHG16
AC020656.1	2.34521231319055e-138	0.413336508780861	0.42	0.212	4.99412962093927e-134	Monocytes	AC020656.1
SLC25A37	3.27493064708849e-138	0.554513013806851	0.453	0.263	6.97396481297495e-134	Monocytes	SLC25A37
PEA15	3.63256636374814e-138	0.404010307545589	0.631	0.421	7.73555007160166e-134	Monocytes	PEA15
OGFRL1	4.14483053781889e-138	0.512566313041393	0.536	0.345	8.82641663028533e-134	Monocytes	OGFRL1
SRC	4.56135076474228e-138	0.322030786091685	0.354	0.162	9.71339645351869e-134	Monocytes	SRC
VMP1	9.63777862902303e-138	0.504696449669553	0.79	0.63	2.05236495905045e-133	Monocytes	VMP1
CD83	9.78051793525298e-138	0.462890181944421	0.907	0.747	2.08276129431212e-133	Monocytes	CD83
SLC43A2	5.5074928089067e-137	0.315907203308169	0.278	0.108	1.17282059365668e-132	Monocytes	SLC43A2
KMO	6.99825445608181e-137	0.358590417382051	0.276	0.106	1.49027828642262e-132	Monocytes	KMO
TFEC	6.64412027468213e-136	0.355922937064196	0.308	0.128	1.41486541249356e-131	Monocytes	TFEC
DNAJB11	4.84290348271111e-135	0.396699165249759	0.505	0.306	1.03129629664333e-130	Monocytes	DNAJB11
IL2RG	1.14836851207384e-134	0.335484207328324	0.349	0.161	2.44545074646125e-130	Monocytes	IL2RG
ACSL4	3.32929714993876e-133	0.480148098190916	0.413	0.224	7.08973828079459e-129	Monocytes	ACSL4
AL133330.1	1.60032060619553e-132	0.316009869542001	0.261	0.1	3.40788273089338e-128	Monocytes	AL133330.1
DNAJC3	2.50490756919665e-132	0.436353353721394	0.485	0.292	5.33420066860428e-128	Monocytes	DNAJC3
DSE	4.15619461957332e-132	0.424355416298111	0.69	0.51	8.85061644238137e-128	Monocytes	DSE
HSPA13	4.34049645690419e-132	0.278153078678139	0.274	0.107	9.24308720497748e-128	Monocytes	HSPA13
KDM6B	9.25403555876094e-132	0.392762620163669	0.608	0.402	1.97064687223814e-127	Monocytes	KDM6B
IFI30	1.10597978200635e-130	0.364707322767438	0.805	0.62	2.35518394578251e-126	Monocytes	IFI30
CD93	4.35278709998833e-130	0.439135702341135	0.404	0.208	9.26926012942514e-126	Monocytes	CD93
NUMB	1.23258819884508e-129	0.341150555110895	0.441	0.239	2.6247965694406e-125	Monocytes	NUMB
CHST7	1.78981686880857e-129	0.293773688021325	0.268	0.104	3.81141502212786e-125	Monocytes	CHST7
NOTCH2	8.33678371934496e-129	0.363909207303564	0.365	0.179	1.77531809303451e-124	Monocytes	NOTCH2
CAPN2	1.79147550157589e-128	0.394934834700944	0.53	0.332	3.81494708060586e-124	Monocytes	CAPN2
PABPC1	2.76479157862142e-128	0.37425836154133	0.987	0.964	5.88762366667432e-124	Monocytes	PABPC1
MYO9B	8.90148476121147e-127	0.362964559158175	0.453	0.253	1.89557117989998e-122	Monocytes	MYO9B
TACC1	5.78518340371892e-126	0.3352506303526	0.645	0.417	1.23195480582194e-121	Monocytes	TACC1
RBM47	1.49445586514604e-123	0.380913972329948	0.567	0.347	3.18244376482849e-119	Monocytes	RBM47
IL10RA	8.55929249314476e-123	0.357537629946609	0.549	0.335	1.82270133641518e-118	Monocytes	IL10RA
BZW1	2.31226595119261e-122	0.424102795702027	0.738	0.62	4.92397034306467e-118	Monocytes	BZW1
CHD2	2.42282450454174e-122	0.411832908411924	0.729	0.569	5.15940478242164e-118	Monocytes	CHD2
ARPC5	5.5476123545325e-122	0.376603948683272	0.836	0.735	1.18136405089769e-117	Monocytes	ARPC5
FNDC3B	2.75847493911985e-121	0.404458444738894	0.435	0.238	5.87417238285573e-117	Monocytes	FNDC3B
ZNF217	5.61608262298811e-121	0.35592209972093	0.368	0.188	1.19594479456532e-116	Monocytes	ZNF217
HBP1	8.79574332640849e-121	0.329789414170179	0.437	0.243	1.87305354135869e-116	Monocytes	HBP1
CST7	1.56774298287856e-120	0.590806000514794	0.524	0.333	3.33850868203988e-116	Monocytes	CST7
CD1C	2.90910517931871e-120	0.33619143278824	0.272	0.111	6.19493947935918e-116	Monocytes	CD1C
CSGALNACT2	5.89110059310604e-120	0.336815244884045	0.534	0.32	1.25450987130193e-115	Monocytes	CSGALNACT2
SEC24A	9.3996266193004e-119	0.301597459713879	0.279	0.12	2.00165048858002e-114	Monocytes	SEC24A
HLA-DQB1	7.43965617207327e-117	0.363289686565647	0.991	0.849	1.584274781843e-112	Monocytes	HLA-DQB1
STX11	8.0547403257507e-117	0.333174641896869	0.527	0.32	1.71525695236861e-112	Monocytes	STX11
GLA	9.72975417019619e-117	0.507263265092508	0.555	0.368	2.07195115054328e-112	Monocytes	GLA
RAPGEF1	3.04321135830573e-116	0.321560767942006	0.454	0.257	6.48051858751206e-112	Monocytes	RAPGEF1
CDC37	5.25759482834469e-116	0.418320377671212	0.627	0.484	1.119604818696e-111	Monocytes	CDC37
PIK3AP1	2.96669332360713e-115	0.357068785220832	0.335	0.163	6.31757343262139e-111	Monocytes	PIK3AP1
TPM4	4.13562043798372e-115	0.380583573407699	0.837	0.739	8.80680372268633e-111	Monocytes	TPM4
AC007384.1	4.22422218486133e-114	0.26874557968562	0.27	0.115	8.99548114266221e-110	Monocytes	AC007384.1
NECTIN2	5.34729681872803e-114	0.335321999785351	0.462	0.273	1.13870685754813e-109	Monocytes	NECTIN2
PIM3	1.66432737675937e-113	0.354387544953827	0.689	0.513	3.54418514880907e-109	Monocytes	PIM3
CMIP	6.69097522169294e-113	0.346395661013548	0.41	0.231	1.42484317345951e-108	Monocytes	CMIP
ARL4C	3.13621135625402e-112	0.332571708227681	0.892	0.71	6.67856208314293e-108	Monocytes	ARL4C
ARFGAP3	1.12072222620303e-111	0.360030834816883	0.54	0.345	2.38657798069936e-107	Monocytes	ARFGAP3
MAP2K3	1.98255347025261e-111	0.3918642361553	0.715	0.542	4.22184761490293e-107	Monocytes	MAP2K3
JAK1	2.31511048876524e-111	0.370526525412667	0.61	0.442	4.93002778582558e-107	Monocytes	JAK1
PAFAH1B2	3.50515452442327e-111	0.366989119043342	0.453	0.274	7.46422655975934e-107	Monocytes	PAFAH1B2
DNAJB6	1.15228075667165e-110	0.330181341121249	0.902	0.767	2.45378187133228e-106	Monocytes	DNAJB6
RAPGEF2	2.88015845924516e-110	0.328894426874095	0.302	0.143	6.13329743896258e-106	Monocytes	RAPGEF2
TANK	6.70732249042949e-110	0.321761138189136	0.581	0.387	1.42832432433696e-105	Monocytes	TANK
ATP6V0C	6.84681993725168e-110	0.326143715887656	0.917	0.82	1.45803030563775e-105	Monocytes	ATP6V0C
RHOF	1.43845953175385e-109	0.335179497360591	0.499	0.309	3.06319957286983e-105	Monocytes	RHOF
COTL1	3.90338514182034e-109	0.2914620681385	0.874	0.682	8.31225865950642e-105	Monocytes	COTL1
GCLM	5.32214237567208e-109	0.381910097324728	0.395	0.214	1.13335021889937e-104	Monocytes	GCLM
