	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
LTB	1.32290487152515e-23	0.104511746822714	0.247	0.176	3.38954686182175e-19
DAPP1	3.23973986005314e-23	0.104355750165581	0.501	0.41	8.30086146942816e-19
SKIL	1.64011866633926e-37	0.104327395301963	0.374	0.266	4.20231204689445e-33
STK17B	2.91385328961812e-33	0.104208732952017	0.447	0.337	7.46587489865954e-29
SINHCAF	6.64230709276516e-37	0.104198564805849	0.305	0.208	1.70189192330829e-32
RGCC	5.25152710844531e-24	0.103794082355577	0.38	0.294	1.34554627572586e-19
NFKB1	1.38951273211801e-19	0.10377183510676	0.726	0.668	3.56020952223277e-15
AKAP9	2.60373513221483e-41	0.103728809829939	0.328	0.219	6.67129015576084e-37
CHMP1B	5.95834304332535e-20	0.103602796274447	0.637	0.559	1.52664665456082e-15
LUZP1	6.85365817334881e-39	0.102771647625895	0.371	0.26	1.75604429717543e-34
SQSTM1	3.34683063498584e-27	0.10264191165563	0.819	0.771	8.57524945296071e-23
SEPTIN6	1.6826658894926e-38	0.102297559257708	0.397	0.282	4.31132654205794e-34
DDAH2	4.51673302501847e-33	0.102285113509325	0.481	0.37	1.15727733567023e-28
TNFAIP2	2.80780713993145e-13	0.102274849591645	0.483	0.43	7.19416345393236e-09
ANKRD12	3.32610466020904e-29	0.10226946818223	0.577	0.46	8.52214536038761e-25
PRPF4B	7.8900689053463e-43	0.102121642250001	0.331	0.22	2.02159345492783e-38
CYTH1	1.32427099378473e-29	0.10205778634881	0.499	0.395	3.39304714027523e-25
SON	1.22856173290054e-32	0.101324090113463	0.653	0.535	3.14782087203777e-28
RRBP1	1.88118295506358e-35	0.101298942725719	0.43	0.317	4.81996696746391e-31
CHD2	1.54937263975364e-24	0.101269494890961	0.658	0.553	3.96980257757677e-20
FILIP1L	5.00835383901749e-32	0.101169749878934	0.24	0.157	1.28324042063306e-27
ACSL3	5.66795435517791e-27	0.100864963764184	0.364	0.275	1.45224326488368e-22
GCLM	1.2466795044892e-22	0.100710529989204	0.333	0.257	3.19424222640223e-18
IST1	2.59844934230525e-40	0.100472736597809	0.332	0.225	6.65774690485452e-36
DYNC1H1	1.02379720528148e-23	0.100376840416413	0.62	0.527	2.6231731993722e-19
BIRC2	3.88433806887079e-39	0.0999370758157872	0.314	0.21	9.95245100006073e-35
ENTPD1	4.97131286368089e-36	0.0997843299434222	0.255	0.165	1.27374978193232e-31
MX2	2.64186927948836e-59	0.0997083280086642	0.168	0.078	6.76899746790507e-55
NINJ1	1.03770122967309e-21	0.099119166153821	0.646	0.546	2.65879809066839e-17
FAM107B	4.01035263940829e-21	0.0991172942871587	0.551	0.464	1.02753255326919e-16
IGFLR1	3.21015598141376e-40	0.0989554424926803	0.251	0.157	8.22506165557834e-36
EZR	3.75460674610246e-22	0.0987068075195681	0.824	0.769	9.62005340486372e-18
HSPA5	2.14208707714047e-14	0.0985425367331483	0.763	0.715	5.4884555090493e-10
VASP	9.75545376927862e-30	0.0981451001082382	0.524	0.414	2.49954236476457e-25
MARCKSL1	3.67473058541445e-20	0.0981136271210575	0.483	0.393	9.41539470594889e-16
CLIC2	5.76272441225247e-31	0.0980024503786561	0.447	0.339	1.47652524890733e-26
CEP170	5.22450514461873e-27	0.0979519080002662	0.411	0.318	1.33862270815421e-22
ASH1L	3.33688007465426e-32	0.0979144681697283	0.411	0.303	8.54975412727914e-28
RAB9A	4.41206753513732e-21	0.0976812748244803	0.411	0.329	1.13045994385288e-16
CD83	1.19719678897344e-18	0.0971258409568247	0.783	0.73	3.06745761270774e-14
CD86	4.54538871355625e-24	0.0971220375405528	0.413	0.325	1.16461949618738e-19
IRF4	6.46471096355006e-32	0.0970927250434081	0.206	0.129	1.6563882430808e-27
G3BP2	2.76341702874338e-25	0.0966481351662895	0.527	0.425	7.08042711104628e-21
SH3BGRL	3.81485143231701e-29	0.0965724929201957	0.631	0.509	9.77441233988265e-25
AREG	9.27431981393973e-12	0.096571706711439	0.277	0.225	2.37626622272764e-07
RSRP1	1.3100530336265e-30	0.0965238580858523	0.495	0.381	3.35661788275781e-26
TP53BP2	5.70479369040002e-32	0.0962107875224503	0.362	0.264	1.46168223935429e-27
CEP350	8.66703163627369e-30	0.095973644027117	0.387	0.289	2.22066684584604e-25
PFKFB3	3.87264498230179e-32	0.0959490143260799	0.349	0.249	9.92249097365365e-28
TMEM14C	7.15334176088836e-34	0.0957031081632579	0.419	0.307	1.83282922597482e-29
PDE4DIP	3.27633751831747e-21	0.0953991298916225	0.464	0.379	8.39463198943301e-17
SPEN	2.94795936561172e-30	0.0953371316465571	0.417	0.314	7.55326148657035e-26
MBP	1.97788337387871e-29	0.0951810050974919	0.462	0.352	5.06773278055203e-25
PLEKHA5	1.28904270055613e-34	0.0950997602254064	0.231	0.147	3.30278520736492e-30
LMO4	1.43271417480417e-33	0.0948956226550416	0.291	0.197	3.67090025868325e-29
NRARP	4.08309202919125e-21	0.0948481327756754	0.379	0.297	1.04616983971938e-16
SEC62	1.21647025677597e-26	0.0948248696844677	0.581	0.469	3.1168400919114e-22
GK	5.54775141963576e-17	0.0947736121917139	0.443	0.371	1.42144486873907e-12
HIVEP2	1.84471448686709e-33	0.0944819948172081	0.291	0.198	4.72652745825087e-29
NIPBL	6.13194769573557e-32	0.0942725797711901	0.379	0.277	1.57112763860137e-27
ZNF267	1.56013416010269e-26	0.0942170382608886	0.488	0.384	3.99737574501512e-22
ARFGAP3	4.90637579230426e-27	0.0941810203169122	0.493	0.387	1.2571116055042e-22
ATRX	9.3659046695884e-33	0.0941229905271673	0.394	0.286	2.39973209444194e-28
PTPRE	1.11097547642671e-24	0.093965134917692	0.498	0.4	2.84654136570052e-20
HIST1H1E	2.28170826626968e-27	0.0939582908642661	0.171	0.107	5.84619291983617e-23
RALA	1.12329020477349e-19	0.0938612153386336	0.661	0.575	2.87809416267063e-15
AMD1	2.39636869287615e-26	0.0938434000930857	0.531	0.422	6.13997586488727e-22
CIITA	6.19884098138434e-24	0.0934924663485533	0.413	0.324	1.5882670362503e-19
KPNA2	1.47515421664628e-31	0.0934804429355	0.378	0.277	3.7796401338911e-27
HIST1H1D	4.47793195764711e-19	0.093479610054566	0.16	0.107	1.14733572618834e-14
CHD1	2.69135361774528e-30	0.0932076389385411	0.339	0.243	6.89578623938697e-26
PMAIP1	1.20069691588687e-19	0.0931693516667044	0.49	0.404	3.07642563788535e-15
OPN3	6.5056631779229e-23	0.092972833696519	0.404	0.319	1.66688101944741e-18
TAOK3	5.01833909329003e-29	0.0927775010007825	0.424	0.32	1.28579884248277e-24
ITSN2	5.71948819862884e-31	0.0926280278970825	0.405	0.302	1.46544726625268e-26
RASGEF1B	1.52229755267537e-23	0.0924844270125079	0.4	0.311	3.90043078946485e-19
ERGIC1	1.31445071952104e-28	0.0923304882728888	0.377	0.281	3.36788563355682e-24
MAN2B1	3.99044908521444e-31	0.0922216517596546	0.391	0.288	1.02243286461364e-26
IL7R	9.95943718846312e-10	0.092100496577839	0.288	0.243	2.55180699642802e-05
TUBA1B	1.58206399992211e-26	0.0919595159641253	0.923	0.87	4.05356438060043e-22
BCL2L11	1.66739551397166e-24	0.0918356889438211	0.384	0.293	4.27220078589819e-20
KMO	6.24235483864987e-30	0.0917842738668622	0.213	0.138	1.59941615675887e-25
TET2	3.87279588592249e-25	0.0917623855799717	0.475	0.377	9.92287761891059e-21
HOOK3	4.42047173759152e-28	0.0917485236143651	0.432	0.329	1.1326132686057e-23
TLN1	3.04459978410187e-28	0.0917378703246288	0.489	0.383	7.80087356682582e-24
TUBA1A	1.14909071055414e-18	0.0914797636485166	0.544	0.452	2.94420021858181e-14
ZBTB10	1.6000383484998e-21	0.0914786476027349	0.331	0.253	4.09961825652618e-17
ARHGEF2	3.76326779227503e-29	0.0914741636053965	0.381	0.283	9.64224473736709e-25
LDLRAD4	2.00221989816101e-32	0.0914337129530085	0.233	0.151	5.13008782306815e-28
DOCK2	1.13455809843013e-38	0.0913777717740384	0.251	0.159	2.90696475979767e-34
N4BP1	2.17585649734527e-28	0.0913513290696872	0.395	0.297	5.57497951749805e-24
ANKLE2	3.27043514562996e-29	0.091305138980935	0.363	0.268	8.37950893013308e-25
MIR22HG	3.80834411623993e-33	0.0913034866307503	0.306	0.21	9.75773929462996e-29
MT-ND1	1.54866632415948e-47	0.0911991899520614	0.977	0.964	3.96799285576141e-43
SPTY2D1	3.4435889858536e-34	0.0908746545153768	0.316	0.218	8.82316369955409e-30
UGP2	1.57536291395647e-29	0.0907277961609022	0.345	0.25	4.03639485813927e-25
NFKB2	3.7842694180965e-35	0.0906621248363002	0.352	0.246	9.69605510304684e-31
HNRNPU	1.40430621348509e-17	0.0905578109188585	0.78	0.708	3.5981133801915e-13
BACH1	4.88043735722402e-23	0.090404220593903	0.536	0.439	1.25046565966794e-18
SAMSN1	2.59322685210978e-11	0.0903466419470287	0.48	0.437	6.64436584047568e-07
RNASET2	1.4702092343554e-25	0.0902493505336368	0.418	0.326	3.76697010026541e-21
C1orf54	4.89390520453572e-16	0.0899389162652066	0.32	0.256	1.25391639150614e-11
MEF2A	1.95343930031103e-36	0.0894619105783986	0.285	0.188	5.00510217525693e-32
PNN	4.25930987218491e-30	0.0894182215418909	0.383	0.282	1.09132037545122e-25
CORO1A	2.93610187189127e-25	0.0893574990936384	0.328	0.243	7.5228802161598e-21
SETD2	4.52187355545623e-35	0.0892680973475037	0.315	0.215	1.158594442379e-30
TANK	7.77863638756086e-26	0.08926517831263	0.525	0.416	1.99304221522084e-21
CHMP4B	1.62770924095776e-34	0.0891646604806504	0.327	0.226	4.17051661718198e-30
CXCR4	3.223372194207e-13	0.0890385927036359	0.607	0.537	8.25892423599719e-09
SWAP70	4.58455339534149e-27	0.0889045701178044	0.349	0.259	1.1746542709544e-22
PABPC1	9.15537267420096e-46	0.0888093033732615	0.967	0.958	2.34578958658377e-41
SLC3A2	2.0276660603991e-24	0.0887058882766594	0.512	0.408	5.19528597995458e-20
SDF2L1	9.08681458631059e-23	0.0882420520606066	0.377	0.295	2.3282236333045e-18
MAP3K2	9.0269196740819e-26	0.0880661904813909	0.417	0.321	2.31287735889327e-21
KMT2E	3.49444959361787e-23	0.0879751446267432	0.575	0.466	8.95347874876772e-19
EIF4A3	1.51484207499504e-18	0.0879159728450599	0.447	0.364	3.88132836455229e-14
ARL5B	3.63764990084362e-21	0.087774134100267	0.416	0.333	9.32038657594153e-17
PTGER4	2.06827292901581e-20	0.0876554602695982	0.365	0.287	5.29932889872432e-16
MT-ATP6	5.3311017830276e-71	0.0876042411428291	0.994	0.988	1.36593489884733e-66
REST	1.31471400873865e-30	0.0875649307364822	0.302	0.211	3.36856023319018e-26
RANBP2	5.50980322063897e-17	0.0869892604526145	0.37	0.3	1.41172178119212e-12
IVNS1ABP	2.09918002647272e-19	0.0868376774175634	0.397	0.317	5.37851906382841e-15
DDX24	3.06137734595323e-24	0.0868294046885412	0.477	0.376	7.84386103580138e-20
AAK1	2.9367093954143e-35	0.0866219272148557	0.269	0.176	7.52443681293052e-31
NUFIP2	2.20441880763554e-21	0.0864246811656397	0.528	0.434	5.64816186892377e-17
IL1R1	4.52445202492574e-26	0.0863571824581727	0.362	0.268	1.15925509782647e-21
CASP4	8.04374826383894e-31	0.0862984683082219	0.328	0.232	2.06096918016081e-26
NMT1	5.74187202932875e-46	0.0860933188476416	0.182	0.097	1.47118245135461e-41
CTNNBL1	8.00762577060373e-42	0.0858206615557278	0.207	0.12	2.05171387494409e-37
PDE4A	1.07516126341863e-24	0.0858040569886053	0.45	0.353	2.75477818913122e-20
AP2B1	1.12826140835949e-45	0.0858000496987282	0.208	0.116	2.89083138049869e-41
HERPUD1	4.65647810789757e-14	0.0857961330053043	0.513	0.436	1.19308282080551e-09
KCTD20	4.31634005687862e-25	0.0857092364205497	0.378	0.287	1.10593264937344e-20
SNX8	8.33840240238569e-36	0.0856556095440152	0.243	0.155	2.13646546353926e-31
BRD2	7.59941075118219e-21	0.0856504041423158	0.561	0.466	1.9471210226679e-16
AKAP13	3.05033615681369e-17	0.0855491549800573	0.681	0.597	7.81557130098803e-13
PIM3	1.430371552677e-21	0.0854834683096378	0.607	0.504	3.66489799226901e-17
TTYH2	3.08635829940653e-31	0.0854409397101385	0.237	0.156	7.9078672347394e-27
RHOF	4.50671668143438e-24	0.0853522204105447	0.443	0.347	1.15471094811712e-19
TCEAL8	1.11187858936188e-26	0.0852641064325689	0.232	0.158	2.84885532166301e-22
FXYD5	1.57705129127556e-25	0.0850182535778347	0.451	0.351	4.04072081850624e-21
BCAT1	6.31874124927458e-17	0.0849287629043184	0.44	0.363	1.61898788288913e-12
ATF6	6.08896463219431e-34	0.0848338213589791	0.239	0.153	1.56011451806083e-29
CD52	2.19803914368535e-21	0.0846471730253321	0.311	0.235	5.6318158939506e-17
AC108134.2	1.42047479449559e-45	0.0846050030979769	0.128	0.058	3.63954051845661e-41
NR4A3	2.35539170442271e-17	0.0844753201545151	0.513	0.429	6.03498462507188e-13
HEIH	4.23055678803493e-30	0.0841058381707552	0.251	0.169	1.08395326023031e-25
DDX3Y	1.30359970905284e-21	0.0840337043677457	0.44	0.349	3.34008317453518e-17
UBE2R2	3.75556405988001e-22	0.0839384884567708	0.509	0.412	9.62250623422455e-18
MCTP1	1.29924556250595e-25	0.0839216598374791	0.28	0.2	3.32892698025275e-21
AC007384.1	1.8413726729189e-32	0.0839108485884549	0.219	0.14	4.71796506255281e-28
STX4	8.44275195252632e-29	0.0837352936576074	0.272	0.189	2.16320190527629e-24
ARPC1B	1.07445161033877e-19	0.0835205626849426	0.64	0.54	2.75295991601001e-15
TSPYL2	9.90611329846994e-27	0.0835150927938302	0.258	0.179	2.53814434933397e-22
ARHGAP18	1.99038340276186e-25	0.0833544732929198	0.305	0.22	5.09976035455643e-21
BOD1L1	1.9070641711178e-31	0.083321257283452	0.292	0.2	4.88627981923804e-27
TACC1	4.96691274412721e-15	0.0832339171831707	0.528	0.459	1.27262238330027e-10
HIST2H2AC	3.2076979229899e-29	0.0830995311659132	0.163	0.097	8.21876361828471e-25
ASAP1	2.78018733427898e-23	0.0830942738008079	0.442	0.348	7.12339598788959e-19
BLOC1S6	4.93919152861172e-25	0.0827356229757403	0.374	0.285	1.26551965346089e-20
JMJD1C	9.10790822962268e-17	0.0827256891617919	0.568	0.483	2.33362824659392e-12
RBPJ	7.57000560461215e-22	0.0827046370063156	0.471	0.38	1.93958683601372e-17
EGLN3	7.95196474351382e-22	0.0826514245837726	0.162	0.105	2.03745240658311e-17
MT-ND5	1.59783276875887e-24	0.0824522295727013	0.909	0.883	4.09396712011396e-20
NOP53	2.09995237983236e-23	0.0823650992387114	0.642	0.535	5.38049798760647e-19
